"id","mac_id","pid","status","sn","imei","mini_app_code","iccid","channel_id","remarks","created_at","updated_at","deleted_at"
1,"9245c6ZCVgFQMD",0,4,100101850100001,867186033771139,"https://liar.yuejiyou.com/?mac=9245c6ZCVgFQMD",89860402101700293001,1,"","2018-06-06 03:14:48","2018-10-08 18:30:22",NULL
2,"ae63e6ZCVgECiH",0,4,100101850100002,867186033810598,"https://liar.yuejiyou.com/?mac=ae63e6ZCVgECiH",89860402101700293002,1,"","2018-06-06 03:14:48","2018-10-08 20:03:16",NULL
3,"eff9d6ZCVgFCtx",0,1,100101850100003,867186033771238,"https://liar.yuejiyou.com/?mac=eff9d6ZCVgFCtx",89860402101700293003,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
4,"33d446ZCVgFehx",0,1,100101850100004,867186033771006,"https://liar.yuejiyou.com/?mac=33d446ZCVgFehx",89860402101700293004,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
5,"7e0f86ZCVgEYpF",0,4,100101850100005,867186033916072,"https://liar.yuejiyou.com/?mac=7e0f86ZCVgEYpF",89860402101700293005,1,"","2018-06-06 03:14:48","2018-10-16 17:55:04",NULL
6,"709036ZCVgHi0T",0,1,100101850100006,867186033811018,"https://liar.yuejiyou.com/?mac=709036ZCVgHi0T",89860402101700293006,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
7,"f3caf6ZCVgFexF",0,1,100101850100007,867186033904243,"https://liar.yuejiyou.com/?mac=f3caf6ZCVgFexF",89860402101700293007,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
8,"f016e6ZCVgHO0L",0,1,100101850100008,867186033924357,"https://liar.yuejiyou.com/?mac=f016e6ZCVgHO0L",89860402101700293008,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
9,"00c976ZCVgG1bN",0,1,100101850100009,867186033771071,"https://liar.yuejiyou.com/?mac=00c976ZCVgG1bN",89860402101700293009,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
10,"6b36a6ZCVgGvT1",0,1,100101850100010,867186033904326,"https://liar.yuejiyou.com/?mac=6b36a6ZCVgGvT1",89860402101700293010,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
11,"5b799HmuwFBjO",0,1,100101850100011,867186033759365,"https://liar.yuejiyou.com/?mac=5b799HmuwFBjO",89860402101700293011,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
12,"e3fbc6ZCVgEYpG",0,1,100101850100012,867186033904235,"https://liar.yuejiyou.com/?mac=e3fbc6ZCVgEYpG",89860402101700293012,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
13,"13e166ZCVgGw9a",0,1,100101850100013,867186033904300,"https://liar.yuejiyou.com/?mac=13e166ZCVgGw9a",89860402101700293013,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
14,"2a51d6ZCVgFiXS",0,4,100101850100014,867186033904516,"https://liar.yuejiyou.com/?mac=2a51d6ZCVgFiXS",89860402101700293014,1,"紧急更换的14号板子，记得给司机换回来","2018-06-06 03:14:48","2018-10-24 21:03:19",NULL
15,"c06746ZCVgHwQg",0,1,100101850100015,867186033810028,"https://liar.yuejiyou.com/?mac=c06746ZCVgHwQg",89860402101700293015,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
16,"fdcb66ZCVgGEti",0,1,100101850100016,867186033915355,"https://liar.yuejiyou.com/?mac=fdcb66ZCVgGEti",89860402101700293016,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
17,"686c06ZCVgFtn2",0,1,100101850100017,867186033811000,"https://liar.yuejiyou.com/?mac=686c06ZCVgFtn2",89860402101700293017,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
18,"8aae2HmuwFqUE",0,1,100101850100018,867186033810721,"https://liar.yuejiyou.com/?mac=8aae2HmuwFqUE",89860402101700293018,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
19,"d95966ZCVgHDBC",0,1,100101850100019,867186033904433,"https://liar.yuejiyou.com/?mac=d95966ZCVgHDBC",89860402101700293019,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
20,"498df6ZCVgHjjy",0,1,100101850100020,867186033915330,"https://liar.yuejiyou.com/?mac=498df6ZCVgHjjy",89860402101700293020,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
21,"489c16ZCVgHtcs",0,1,100101850100021,867186033918144,"https://liar.yuejiyou.com/?mac=489c16ZCVgHtcs",89860402101700293021,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
22,"2de146ZCVgEzXy",0,1,100101850100022,867186033918706,"https://liar.yuejiyou.com/?mac=2de146ZCVgEzXy",89860402101700293022,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
23,"df5b16ZCVgIkgM",0,1,100101850100023,867186033811448,"https://liar.yuejiyou.com/?mac=df5b16ZCVgIkgM",89860402101700293023,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
24,"c8db26ZCVgHONa",0,1,100101850100024,867186033811190,"https://liar.yuejiyou.com/?mac=c8db26ZCVgHONa",89860402101700293024,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
25,"254db6ZCVgFVcQ",0,1,100101850100025,867186033894519,"https://liar.yuejiyou.com/?mac=254db6ZCVgFVcQ",89860402101700293025,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
26,"5dc6a6ZCVgHow8",0,1,100101850100026,867186033811372,"https://liar.yuejiyou.com/?mac=5dc6a6ZCVgHow8",89860402101700293026,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
27,"5832eHmuwFw7e",0,1,100101850100027,867186033918615,"https://liar.yuejiyou.com/?mac=5832eHmuwFw7e",89860402101700293027,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
28,"3327d6ZCVgHRUI",0,1,100101850100028,867186033898312,"https://liar.yuejiyou.com/?mac=3327d6ZCVgHRUI",89860402101700293028,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
29,"fb48c6ZCVgI0eQ",0,1,100101850100029,867186033812180,"https://liar.yuejiyou.com/?mac=fb48c6ZCVgI0eQ",89860402101700293029,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
30,"f809f6ZCVgFQME",0,1,100101850100030,867186033918227,"https://liar.yuejiyou.com/?mac=f809f6ZCVgFQME",89860402101700293030,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
31,"a9d556ZCVgH1CM",0,1,100101850100031,867186033810135,"https://liar.yuejiyou.com/?mac=a9d556ZCVgH1CM",89860402101700293031,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
32,"4d7ab6ZCVgEAJW",0,1,100101850100032,867186033812024,"https://liar.yuejiyou.com/?mac=4d7ab6ZCVgEAJW",89860402101700293032,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
33,"5c3916ZCVgFpcY",0,1,100101850100033,867186033918300,"https://liar.yuejiyou.com/?mac=5c3916ZCVgFpcY",89860402101700293033,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
34,"6aaf36ZCVgHLVL",0,1,100101850100034,867186033918722,"https://liar.yuejiyou.com/?mac=6aaf36ZCVgHLVL",89860402101700293034,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
35,"76d896ZCVgGC89",0,1,100101850100035,867186033811364,"https://liar.yuejiyou.com/?mac=76d896ZCVgGC89",89860402101700293035,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
36,"11eba6ZCVgHpix",0,1,100101850100036,867186033918219,"https://liar.yuejiyou.com/?mac=11eba6ZCVgHpix",89860402101700293036,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
37,"671ad6ZCVgFwuB",0,1,100101850100037,867186033872770,"https://liar.yuejiyou.com/?mac=671ad6ZCVgFwuB",89860402101700293037,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
38,"9921b6ZCVgGvmN",0,1,100101850100038,867186033770966,"https://liar.yuejiyou.com/?mac=9921b6ZCVgGvmN",89860402101700293038,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
39,"f8c886ZCVgF4EN",0,1,100101850100039,867186033811083,"https://liar.yuejiyou.com/?mac=f8c886ZCVgF4EN",89860402101700293039,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
40,"990886ZCVgFjKh",0,1,100101850100040,867186033811398,"https://liar.yuejiyou.com/?mac=990886ZCVgFjKh",89860402101700293040,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
41,"99fcb6ZCVgFx0R",0,1,100101850100041,867186033811273,"https://liar.yuejiyou.com/?mac=99fcb6ZCVgFx0R",89860402101700293041,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
42,"1cb0b6ZCVgERod",0,1,100101850100042,867186033810341,"https://liar.yuejiyou.com/?mac=1cb0b6ZCVgERod",89860402101700293042,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
43,"cdc506ZCVgEEU1",0,1,100101850100043,867186033917393,"https://liar.yuejiyou.com/?mac=cdc506ZCVgEEU1",89860402101700293043,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
44,"b4e3a6ZCVgFibv",0,1,100101850100044,867186033918763,"https://liar.yuejiyou.com/?mac=b4e3a6ZCVgFibv",89860402101700293044,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
45,"9429b6ZCVgGZ1v",0,1,100101850100045,867186033824227,"https://liar.yuejiyou.com/?mac=9429b6ZCVgGZ1v",89860402101700293045,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
46,"1decd6ZCVgFCJH",0,1,100101850100046,867186033811034,"https://liar.yuejiyou.com/?mac=1decd6ZCVgFCJH",89860402101700293046,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
47,"28f716ZCVgFhp7",0,1,100101850100047,867186033811257,"https://liar.yuejiyou.com/?mac=28f716ZCVgFhp7",89860402101700293047,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
48,"7f65c6ZCVgFaDL",0,1,100101850100048,867186033770982,"https://liar.yuejiyou.com/?mac=7f65c6ZCVgFaDL",89860402101700293048,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
49,"e448c6ZCVgHHvz",0,1,100101850100049,867186033917237,"https://liar.yuejiyou.com/?mac=e448c6ZCVgHHvz",89860402101700293049,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
50,"f19516ZCVgHHLH",0,1,100101850100050,867186033918110,"https://liar.yuejiyou.com/?mac=f19516ZCVgHHLH",89860402101700293050,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
51,"b1c626ZCVgFM6l",0,5,100101850100051,867186033759654,"https://liar.yuejiyou.com/?mac=b1c626ZCVgFM6l",89860402101700293051,1,"","2018-06-06 03:14:48","2018-06-06 03:14:48",NULL
